id;first_name;last_name;email;phone_number;hire_date;salary;commission_pct
1;Lola;Rodriguez;Lily.Kihn75@yahoo.com;repurpose modular;2020-10-28T12:33:43;12617;25834
2;Miguel;Kling;Lynn.Buckridge@gmail.com;Wooden withdrawal;2020-10-28T07:34:03;9385;75289
3;Corrine;Wuckert;Arlo58@hotmail.com;Wooden;2020-10-28T09:43:05;90233;71649
4;Meredith;O'Hara;Deonte34@yahoo.com;Berkshire reinvent;2020-10-28T02:27:30;37356;15436
5;Antonina;Turner;Reuben92@yahoo.com;Albania;2020-10-28T17:50:36;54263;80529
6;Unique;MacGyver;Jensen13@gmail.com;Music pink;2020-10-28T05:12:42;95916;18581
7;Myrtice;O'Hara;Imogene95@yahoo.com;calculate Concrete Soap;2020-10-28T08:09:14;95498;15970
8;Monty;Jerde;Chandler_Wehner@gmail.com;payment Expressway;2020-10-27T22:11:53;43151;12407
9;Edwin;Abshire;June_Nicolas@gmail.com;Automated Small Concrete Chicken;2020-10-28T01:01:29;69929;43322
10;Casey;Schinner;Yasmine24@yahoo.com;e-business;2020-10-28T01:43:54;601;74069
